product_id,product_name,asset_type,allocation_percentage,ticker,company_name,sector,risk_level,country
PROD001,Fondo Conservador A,gobierno_bonos,100.0,,Bonos de Gobierno USA/Chile,Gobierno,muy_bajo,USA/CHL
PROD002,Fondo Moderado B,renta_fija,60.0,,Bonos corporativos investment grade,Finanzas,bajo,USA/EUR
PROD002,Fondo Moderado B,renta_variable,40.0,,Índice MSCI World,Multiactor,medio,Global
PROD003,ZEST Deuda Privada,deuda_privada,100.0,,Deuda privada gestores Blackstone/Apollo,Finanzas,medio,USA/EUR
PROD004,Zest Bond Liquid CG2,acciones,25.0,AGEE,Agnico Eagle,Minería,medio,Canadá
PROD004,Zest Bond Liquid CG2,acciones,25.0,ANET,Arista Networks,Tecnología,alto,USA
PROD004,Zest Bond Liquid CG2,acciones,25.0,META,Meta Platforms,Tecnología,alto,USA
PROD004,Zest Bond Liquid CG2,acciones,25.0,NVDA,NVIDIA,Semiconductores,alto,USA
PROD005,Fondo Agresivo C,acciones,70.0,,Índice NASDAQ 100,Tecnología,alto,USA
PROD005,Fondo Agresivo C,acciones,20.0,,Mercados Emergentes,Multiactor,alto,Global
PROD005,Fondo Agresivo C,renta_fija,10.0,,Bonos corporativos,Finanzas,bajo,Global
PROD006,Fondo Equilibrado B,renta_variable,50.0,,Índice S&P 500 + Europa,Multiactor,medio,USA/EUR
PROD006,Fondo Equilibrado B,renta_fija,50.0,,Bonos gubernamentales y corporativos,Finanzas,bajo,USA/EUR
PROD007,Bonos Gobierno +,gobierno_bonos,100.0,,Bonos Soberanos USA 10Y,Gobierno,muy_bajo,USA
PROD008,Fondo Mixto Premium,renta_fija,50.0,,Bonos AAA corporativos,Finanzas,bajo,USA/EUR
PROD008,Fondo Mixto Premium,acciones,50.0,,Blue Chip companies (Apple Google Microsoft Amazon),Tecnología,medio,USA
